ID	CO_4	CO_6	CO_5	CO27	CO29	CO26	CO25	CO28	CO30	CO31	CO36	CO32	CO33	CO34	CO_35	CO21	CO23	CO20	CO19	CO22	CO24	CO37	CO39	CO38	CO40	CO42	CO41	CO3	CO1	CO2	CO8	CO9	CO7	CO12	CO15	CO13	CO11	CO44	CO10	CO43	CO16	CO18	CO17	CA25	CA30	CA28	CA27	CA29	CA26	CA35	CA31	CA32	CA34	CA33	CA36	CA19	CA20	CA21	CA23	CA24	CA22	CA38	CA37	CA39	CA42	CA41	CA40	CA3	CA2	CA1	CA8	CA9	CA7	CA12	CA13	CA15	CA43	CA11	CA10	CA44	CA16	CA18	CA17	CA_4	CA_5	CA_6
CON__P02768-1;P02768;P02768-2;P02768-3	27.0266	28.4547	27.5097	28.4815	29.9264	28.8225	29.6676	29.5595	28.9775	29.8701	29.5516	29.8958	30.9013	30.0055	30.5505	30.4498	29.0053	29.3369	29.3762	27.7479	29.37	29.0485	27.8312	27.7438	26.7289	29.1264	28.3219	27.5815	28.8306	29.3737	29.6279	29.3464	28.8948	29.168	27.3063	26.2824	28.7799	27.6521	29.0506	29.6583	28.6539	29.6331	29.3694	29.7018	28.3123	28.9395	28.8379	29.5966	29.2079	29.4121	29.5806	30.5128	29.8409	29.9047	29.4434	30.293	28.4254	29.0928	29.2728	28.7533	30.3443	27.2334	28.8276	29.1792	29.6722	29.3447	29.2472	29.5098	28.4755	27.7718	28.9651	28.8448	29.2655	28.8488	27.7653	27.7063	28.4898	28.3267	29.6889	29.2416	30.2701	29.4909	28.7586	28.7881	26.4931	28.5635
CON__P13645;P13645	24.863	25.5635	25.1918	27.1967	25.6059	25.5066	26.4349	26.0788	25.8763	26.0039	26.8171	25.2894	25.4311	25.8824	26.8759	25.4345	26.3422	26.9386	25.6745	25.1463	25.8941	22.0434	23.0038	26.7872	22.2853	22.4092	22.51	25.1167	25.8661	24.7286	26.8688	25.7851	26.486	27.0556	25.605	27.7198	27.2879	28.6528	26.2669	25.4636	24.8	25.8649	25.0414	26.5694	27.2965	26.0337	26.6908	25.4996	24.8939	27.3323	26.6647	27.018	25.9149	26.0044	25.5298	26.1554	25.7808	25.2345	26.5161	25.7268	26.8576	26.2777	25.2273	24.6039	24.1767	25.0421	23.7011	25.7175	25.495	24.16	25.8592	26.4523	23.8553	26.1503	26.0783	24.9622	26.3342	25.7412	26.6501	24.5535	26.6222	26.2523	25.3949	25.597	25.6869	26.6436
CON__P13647;P13647	20.216	21.4435	20.6002	22.3005	19.7873	20.1747	20.3807	20.7976	20.5978	20.475	21.7169	20.3971	18.8636	19.8414	20.9149	20.0348	20.4663	21.3894	20.5043	20.1416	20.3876	20.7329	20.167	22.0633	19.7819	20.3357	20.1703	20.0442	21.3267	19.7482	19.2687	20.3966	19.858	20.9991	20.1085	22.2025	22.0097	22.6339	20.806	20.9583	19.8341	20.2421	20.652	20.0493	21.028	20.1374	19.717	19.8867	19.5638	22.3679	20.0891	21.0305	20.419	21.2548	19.5985	20.5039	19.5777	19.5794	19.9701	20.5046	22.3027	21.3907	19.8102	19.669	20.4119	19.578	19.8759	19.4874	19.7663	19.0388	19.7294	21.0425	19.8161	20.799	20.2394	18.7415	20.8776	20.3924	21.2249	19.9713	20.1223	19.9035	19.981	20.372	20.3657	21.6026
CON__Q86YZ3;Q86YZ3	19.5596	19.8802	19.9669	22.0694	19.8822	20.2912	20.6692	21.3188	20.339	20.4212	18.9019	20.1028	19.0182	19.5968	19.5066	19.3181	19.843	20.5336	21.105	19.1994	20.5882	19.6275	19.7444	19.4359	19.1414	20.4166	19.6528	20.1046	20.8289	19.3157	21.3672	18.9317	20.7394	22.0031	20.5975	21.6851	23.0633	21.6306	20.7922	22.5504	22.8762	20.9267	19.1296	19.8766	21.604	21.138	20.8695	19.7023	20.8649	19.6937	20.1248	19.6514	19.6318	20.598	19.4179	20.7799	19.7294	19.169	20.4423	19.8252	22.1334	20.1277	19.3527	19.8676	19.0768	19.8317	19.0417	20.3694	20.7007	21.1706	20.7932	22.4686	19.7366	20.6383	20.8819	20.5981	21.5301	19.8873	21.579	22.1681	23.9511	20.8158	19.4135	19.3463	20.3913	20.7504
O00187-2;O00187	23.4195	24.2243	23.0629	23.7834	24.0717	24.6372	24.2322	24.563	24.5664	23.626	23.797	23.532	23.1157	24.0556	24.0853	23.7986	24.3605	24.2267	24.2488	23.7284	22.4315	23.7983	24.2226	24.0971	24.1354	24.4045	24.2044	24.5307	24.7786	24.6315	23.3845	23.601	23.0546	23.6831	22.9184	23.061	22.3761	23.3876	18.7712	23.4341	24.46	24.0908	24.2318	24.4093	24.1931	24.4343	24.4173	24.4636	24.1736	23.8677	24.7412	24.1018	24.4768	24.0583	23.701	23.1823	23.578	24.2998	24.1861	24.0774	24.5195	24.6834	24.4219	24.4735	23.2294	24.3193	23.5397	23.6371	23.4721	25.3961	23.5477	23.5329	23.4685	23.5039	23.0942	22.4373	23.24	21.6142	23.4911	23.2765	24.3839	24.305	24.3892	23.6965	24.7805	24.1517
O00391-2;O00391	23.0824	23.0003	23.4413	22.7779	22.8835	23.5906	23.255	22.8074	23.4062	22.8454	23.595	23.3307	23.6082	23.8831	23.2291	23.3589	23.3218	23.2434	23.6547	23.5469	23.6808	21.265	22.9013	22.645	23.4257	22.9737	22.8119	23.0419	23.8373	23.9712	23.7977	23.9086	23.612	24.683	24.472	24.1966	24.9034	24.4727	24.558	24.1508	23.4284	23.3122	23.7755	23.6724	23.6778	23.4719	23.1482	23.4725	23.2337	23.1663	23.8614	22.7135	23.8199	23.3647	23.7613	23.2813	23.5952	22.3268	23.9886	23.2321	23.582	22.8018	23.9665	23.5545	22.8887	22.5686	23.2021	23.8262	23.4118	23.6426	23.8745	24.3439	23.6113	24.5223	24.4232	24.5175	24.5334	24.3889	24.288	23.9977	24.2316	23.0124	23.2583	23.1494	22.7106	23.4893
O00533;O00533-2	24.2113	23.6475	23.9585	25.0897	25.0442	25.9021	24.4836	24.4512	24.4633	24.1621	25.0897	24.2695	24.5099	24.4641	24.989	24.0867	24.3597	24.7447	25.0979	24.3623	24.404	24.6837	25.0757	24.6565	24.178	25.1827	24.7037	24.8269	24.7388	24.8331	24.3496	23.6355	24.7898	23.9343	23.2374	24.1951	25.1713	24.7518	23.5841	25.853	25.0506	24.7982	24.7759	24.54	24.9991	24.296	24.3703	24.8706	26.0282	24.4287	26.5077	23.656	24.4247	24.0604	24.2416	24.431	25.1193	24.0645	24.3021	24.2327	24.5124	23.8522	24.5723	24.57	25.2306	24.4074	24.3046	24.9241	25.5408	24.0872	24.9679	24.7031	23.7365	24.8988	24.3703	23.8158	24.3536	24.1728	23.804	23.7488	25.9755	25.1023	24.7181	24.7368	23.6581	24.372
O14791-3;O14791;O14791-2	23.7524	24.5175	25.6889	23.5225	23.5431	22.7157	24.528	23.6473	21.7918	24.558	24.0507	23.881	23.7569	24.4308	24.1231	24.0692	22.8743	24.3442	23.3436	23.4777	23.2579	22.6914	20.9152	23.1424	23.4194	21.9731	23.1351	24.5157	22.7721	23.3088	22.8734	23.1909	23.1746	23.3336	23.8667	23.4081	22.1976	22.6649	23.3927	22.7366	23.6086	24.015	23.94	24.2039	22.0968	23.5275	23.2299	24.0914	24.783	23.8465	26.1613	23.6245	25.5713	24.2503	23.4842	23.6733	23.2246	24.3079	23.8591	23.5462	23.4914	23.8518	21.6848	22.5739	22.8597	21.6051	24.2007	23.5808	22.9991	24.0827	22.3587	22.6071	23.427	23.3692	23.2411	23.6921	22.6802	22.9891	22.2576	22.5104	23.3259	23.9248	24.0013	23.9735	23.7127	23.9108
O43493;O43493-2;O43493-5;O43493-3;O43493-4	24.8965	24.9681	25.0657	26.5209	23.8352	25.6664	22.5697	24.0004	25.707	25.2315	23.0942	24.912	22.7946	21.95	22.609	22.9649	26.2524	25.9209	25.9627	25.3256	23.472	23.8198	23.2943	25.7737	23.6978	24.2219	23.2123	26.2575	26.3264	25.4109	25.2878	25.4214	24.7263	26.4572	24.7178	25.3915	26.3853	24.5223	24.9891	26.2258	22.4588	25.8258	24.8598	23.8741	25.83	24.2263	25.572	23.9862	25.324	24.737	23.804	23.9185	24.3659	25.5229	23.825	25.3796	24.9189	22.7432	22.8516	22.1298	23.5957	25.0532	26.1654	25.2724	23.5057	21.1793	21.3284	26.7628	25.393	25.4434	25.5799	25.857	25.207	26.5002	24.5743	25.3585	25.5367	25.684	24.8095	26.3003	25.984	26.1197	25.6752	25.2339	24.8196	25.2464
O43866	22.3684	22.3868	22.4483	23.4778	23.0189	25.0743	22.7206	24.4115	23.9368	23.3574	21.3238	21.3128	22.417	22.9267	23.4363	21.7061	22.2622	22.2434	20.1903	22.3538	23.075	22.6892	23.7245	22.7313	21.7079	21.1197	22.4674	22.6741	22.5555	21.8834	21.7654	21.6958	21.6059	24.1018	21.7378	20.2213	20.8132	21.6399	22.0783	22.3042	23.6617	23.6695	23.1759	23.4268	23.3463	22.5536	22.3835	22.3674	22.8276	23.2073	20.9445	23.4234	23.1707	22.4971	23.5826	23.0807	22.6151	21.2844	22.4824	23.7294	22.8997	23.0274	22.7477	22.8605	25.1548	23.4722	22.0652	22.6938	23.0006	22.3653	23.3315	23.6291	21.27	24.2999	24.0563	23.331	22.2675	20.3337	21.8491	22.3609	22.7949	22.5333	23.3464	23.0823	23.0299	22.5968
