Gene	log2FoldChange	pvalue	padj																																																																																																																																																																																																																																																																																																																																							Gene	ROTS.statistic	pvalue	FDR				Majority protein IDs	Protein names	Gene names	-Log Student's T-test p-value CA_CO	Student's T-test Difference CA_CO	Student's T-test Test statistic CA_CO
FBLN-1C	-0.273259407	0.004381526	0																																																																																																																																																																																																																																																																																																																																							P23142-4	-2.903156118	0.004381526	0				P23142-4	Fibulin-1	FBLN1	2.326409856	-0.273259407	-2.903284399
APOE	0.22984935	0.014674699	0.99137931																																																																																																																																																																				0																																																																																																																																																																			P02649	2.473218635	0.014674699	0.99137931				P02649	Apolipoprotein E	APOE	1.812229952	0.22984935	2.473129158
GSN	-0.130903155	0.028861446	0.99137931																																																																																																																																																																																																																																																																																																																																							P06396;P06396-2;P06396-4;P06396-3	-2.20806534	0.028861446	0.99137931				P06396;P06396-2;P06396-4;P06396-3	Gelsolin	GSN	1.523265492	-0.130903155	-2.207947342
APOC3	0.40607896	0.031307229	0.99137931																																																																																																																																																																																																																																																																																																																																							P02656	2.175949914	0.031307229	0.99137931				P02656	Apolipoprotein C-III	APOC3	1.48992253	0.40607896	2.17598198
MMP2	-0.350615391	0.036716867	0.99137931																																																																																																																																																																																																																																																																																																																																							P08253;P08253-2;P08253-3	-2.11162366	0.036716867	0.99137931				P08253;P08253-2;P08253-3	72 kDa type IV collagenase;PEX	MMP2	1.423829221	-0.350615391	-2.111676524
CDH13	-0.323316264	0.039855422	0.99137931																																																																																																																																																																																																																																																																																																																																							P55290;P55290-4;P55290-5	-2.076267936	0.039855422	0.99137931				P55290;P55290-4;P55290-5	Cadherin-13	CDH13	1.388063608	-0.323316264	-2.076331606
CNDP1	-0.192227741	0.044893574	0.99137931																																																																																																																																																																																																																																																																																																																																							Q96KN2	-2.024266744	0.044893574	0.99137931				Q96KN2	Beta-Ala-His dipeptidase	CNDP1	1.33619237	-0.192227741	-2.024351423
KRT5	-0.325142572	0.060799197	0.99137931																																																																																																																																																																																																																																																																																																																																							CON__P13647;P13647	-1.890726829	0.060799197	0.99137931				CON__P13647;P13647	"Keratin, type II cytoskeletal 5"	KRT5	1.206844936	-0.325142572	-1.890722259
VASN	-0.162284053	0.062110442	0.99137931																																																																																																																																																																																																																																																																																																																																							Q6EMK4	-1.880872181	0.062110442	0.99137931				Q6EMK4	Vasorin	VASN	1.197602117	-0.162284053	-1.880938463
APOC2	0.34688302	0.063391566	0.99137931																																																																																																																																																																																																																																																																																																																																							P02655	1.871700187	0.063391566	0.99137931				P02655	Apolipoprotein C-II;Proapolipoprotein C-II	APOC2	1.188878233	0.34688302	1.871673514
APOB	0.181043492	0.068	0.99137931																																																																																																																																																																																																																																																																																																																																							P04114	1.838385905	0.068	0.99137931				P04114	Apolipoprotein B-100;Apolipoprotein B-48	APOB	1.157876762	0.181043492	1.838505716
MCAM	-0.264740567	0.0702249	0.99137931																																																																																																																																																																																																																																																																																																																																							P43121;P43121-2	-1.823513849	0.0702249	0.99137931				P43121;P43121-2	Cell surface glycoprotein MUC18	MCAM	1.143981142	-0.264740567	-1.823513045
LUM	-0.14533828	0.075839357	0.99137931																																																																																																																																																																																																																																																																																																																																							P51884	-1.786895591	0.075839357	0.99137931				P51884	Lumican	LUM	1.110336724	-0.14533828	-1.786878864
TNXB	-0.301218698	0.076514056	0.99137931																																																																																																																																																																																																																																																																																																																																							P22105;P22105-3;P22105-4;P22105-2	-1.782542144	0.076514056	0.99137931				P22105;P22105-3;P22105-4;P22105-2	Tenascin-X	TNXB	1.106350813	-0.301218698	-1.782506806
CFB	-0.097338832	0.079698795	0.99137931																																																																																																																																																																																																																																																																																																																																							P00751;P00751-2	-1.763309345	0.079698795	0.99137931				P00751;P00751-2	Complement factor B;Complement factor B Ba fragment;Complement factor B Bb fragment	CFB	1.088806843	-0.097338832	-1.763180909
CD5L	0.345361621	0.098692771	0.99137931																																																																																																																																																																																																																																																																																																																																							O43866	1.661022819	0.098692771	0.99137931				O43866	CD5 antigen-like	CD5L	0.998091689	0.345361621	1.661006683
APOC1	0.445321682	0.099680723	0.99137931																																																																																																																																																																																																																																																																																																																																							P02654	1.65640779	0.099680723	0.99137931				P02654	Apolipoprotein C-I;Truncated apolipoprotein C-I	APOC1	0.994073231	0.445321682	1.656389243
APOM	0.369844658	0.103560241	0.99137931																																																																																																																																																																																																																																																																																																																																							O95445-2;O95445	1.637538212	0.103560241	0.99137931				O95445-2;O95445	Apolipoprotein M	APOM	0.977742158	0.369844658	1.637540126
SPP2	0.38195752	0.103608434	0.99137931																																																																																																																																																																																																																																																																																																																																							Q13103	1.637181404	0.103608434	0.99137931				Q13103	Secreted phosphoprotein 24	SPP2	0.977462299	0.38195752	1.637215935
FBLN1	-0.240630837	0.112736948	0.99137931																																																																																																																																																																																																																																																																																																																																							P23142;P23142-2;P23142-3	-1.595655508	0.112736948	0.99137931				P23142;P23142-2;P23142-3	Fibulin-1	FBLN1	0.941846877	-0.240630837	-1.595625324
GC	-0.099169975	0.120740964	0.99137931																																																																																																																																																																																																																																																																																																																																							P02774;P02774-3;P02774-2	-1.561277548	0.120740964	0.99137931				P02774;P02774-3;P02774-2	Vitamin D-binding protein	GC	0.912770876	-0.099169975	-1.561165861
HABP2	-0.134737503	0.128283133	0.99137931																																																																																																																																																																																																																																																																																																																																							Q14520-2;Q14520	-1.530494379	0.128283133	0.99137931				Q14520-2;Q14520	Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form	HABP2	0.887263629	-0.134737503	-1.530545468
RARRES2	-0.268439315	0.13248996	0.99137931																																																																																																																																																																																																																																																																																																																																							Q99969	-1.513429975	0.13248996	0.99137931				Q99969	Retinoic acid receptor responder protein 2	RARRES2	0.873149195	-0.268439315	-1.513439534
HSPG2	-0.298306044	0.133600402	0.99137931																																																																																																																																																																																																																																																																																																																																							P98160	-1.509133298	0.133600402	0.99137931				P98160	Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide	HSPG2	0.86965085	-0.298306044	-1.509181482
